id,latitude,longitude,municipality,name,town,website_link
63,46.08111111,15.53,Kozje,Grad Kozje,Kozje,https://sl.wikipedia.org/wiki/Grad_Kozje
64,45.91419167,14.77904722,Ivančna Gorica,Grad Kravjek,Leščevje,https://sl.wikipedia.org/wiki/Grad_Kravjek
65,45.97234444,15.48166111,Krško,Grad Krško,Cesta,https://sl.wikipedia.org/wiki/Grad_Kr%C5%A1ko
66,46.13388889,14.63388889,Domžale,Grad Krumperk,Gorjuša,https://sl.wikipedia.org/wiki/Grad_Krumperk
67,45.63164167,15.22570833,Semič,Grad Krupa,Stranska vas pri Semiču,https://sl.wikipedia.org/wiki/Grad_Krupa
68,46.05694444,15.69388889,Bistrica ob Sotli,Grad Kunšperk,Kunšperk,https://sl.wikipedia.org/wiki/Grad_Kun%C5%A1perk
69,45.91713611,15.06528889,Trebnje,Lanšprež (stari grad),Češnjevek,https://sl.wikipedia.org/wiki/Grad_Lan%C5%A1pre%C5%BE_(stari_grad)
70,45.92673611,15.05177778,Mirna,Lanšprež (novi grad),Gomila,https://sl.wikipedia.org/wiki/Grad_Lan%C5%A1pre%C5%BE_(novi_grad)
71,46.15708333,15.23746389,Laško,Grad Laško,Laško,https://sl.wikipedia.org/wiki/Grad_La%C5%A1ko
72,46.11,14.85,Litija,Grad Lebek,Potok pri Vačah,https://sl.wikipedia.org/wiki/Grad_Lebek
73,46.32305556,15.24694444,Vojnik,Grad Lemberg,Lemberg pri Novi Cerkvi,https://sl.wikipedia.org/wiki/Grad_Lemberg_(L%C3%B6wenberg)
74,46.25805556,15.55,Šmarje pri Jelšah,Grad Lemberg,Lemberg pri Šmarju,https://sl.wikipedia.org/wiki/Grad_Lemberg_(Lengenburg)
75,46.56694444,16.45305556,Lendava,Grad Lendava,Lendava,https://sl.wikipedia.org/wiki/Lendavski_grad
76,46.02333889,14.85785556,Šmartno pri Litiji,Grad Lihtenberk,Dvor,https://sl.wikipedia.org/wiki/Grad_Lihtenberk
77,46.162715,14.78547694,Moravče,Grad Limberk,Limbarska Gora,https://sl.wikipedia.org/wiki/Grad_Limberk
78,46.555,15.57611111,Maribor,Grad Limbuš,Limbuš,https://sl.wikipedia.org/wiki/Grad_Limbu%C5%A1
79,46.35305556,15.325,Vojnik,Grad Lindek,Lindek,https://sl.wikipedia.org/wiki/Grad_Lindek
80,46.32732778,14.16993611,Radovljica,Grad Lipnica,Zgornja Lipnica,https://sl.wikipedia.org/wiki/Lipni%C5%A1ki_grad
81,46.04888889,14.50888889,Ljubljana,Grad Ljubljana,Ljubljana,https://sl.wikipedia.org/wiki/Ljubljanski_grad
82,45.72444444,14.47194444,Loška dolina,Grad Lož,Lož,https://sl.wikipedia.org/wiki/Grad_Lo%C5%BE
